epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0854,2.02173,2.37034,1.68347,0.13337,0.54839,0.12095,0.06752,0.92254,334.635,0.89206,0.000409091,0.000409091,0.000409091
2,25.6176,1.75493,1.64641,1.4853,0.08994,0.35484,0.13638,0.10082,0.80937,468.797,1.04988,0.000823033,0.000823033,0.000823033
3,36.5706,1.71189,1.54352,1.47163,0.2729,0.29032,0.18015,0.10662,1.08529,357.869,1.20304,0.00123422,0.00123422,0.00123422
4,47.5921,1.70557,1.53552,1.48351,0.25607,0.19355,0.14747,0.08771,1.12889,323.745,1.15217,0.00123763,0.00123763,0.00123763
5,58.5708,1.67627,1.44991,1.43623,0.6259,0.45161,0.46109,0.32253,0.97647,307.095,1.08303,0.0012335,0.0012335,0.0012335
6,69.5318,1.63919,1.39608,1.42436,0.32868,0.22581,0.24292,0.10939,1.17578,242.14,1.13082,0.00122937,0.00122937,0.00122937
7,80.3658,1.6186,1.37199,1.42837,0.43881,0.35319,0.38769,0.25419,0.94604,216.56,1.0315,0.00122525,0.00122525,0.00122525
8,91.0458,1.61897,1.36478,1.41464,0.29072,0.74194,0.31517,0.19328,1.03567,240.433,1.1824,0.00122112,0.00122112,0.00122112
9,102.113,1.59836,1.31615,1.39547,0.20987,0.35484,0.20459,0.13144,0.93489,257.307,0.99051,0.001217,0.001217,0.001217
10,113.328,1.57504,1.31365,1.38634,0.49717,0.74194,0.5227,0.35382,0.80212,235.223,0.915,0.00121287,0.00121287,0.00121287
11,124.125,1.56084,1.28533,1.36519,0.37448,0.51613,0.32282,0.21008,0.88482,251.572,0.98131,0.00120875,0.00120875,0.00120875
12,134.849,1.54831,1.24015,1.35991,0.5112,0.87097,0.51865,0.31815,0.9436,223.178,0.95077,0.00120462,0.00120462,0.00120462
13,146.062,1.52556,1.22853,1.3459,0.53361,0.64516,0.46798,0.3141,0.8809,219.346,0.9567,0.0012005,0.0012005,0.0012005
14,156.65,1.52288,1.24266,1.3529,0.40477,0.83871,0.54781,0.34934,0.98991,267.322,1.03107,0.00119637,0.00119637,0.00119637
15,167.36,1.52354,1.22257,1.34519,0.72397,0.48387,0.63284,0.43042,0.84329,275.605,0.93953,0.00119225,0.00119225,0.00119225
16,178.491,1.47202,1.18684,1.30801,0.46836,0.83871,0.52345,0.31487,0.94027,278.851,1.04697,0.00118812,0.00118812,0.00118812
17,189.893,1.47006,1.16437,1.31701,0.41326,0.6129,0.43981,0.29225,0.9217,291.33,1.00779,0.001184,0.001184,0.001184
18,200.672,1.47896,1.1712,1.30658,0.47162,0.83871,0.48183,0.28574,1.02871,235.96,1.06219,0.00117988,0.00117988,0.00117988
19,211.806,1.45204,1.1546,1.30063,0.49342,0.67742,0.60048,0.42707,0.81483,233.008,0.94073,0.00117575,0.00117575,0.00117575
20,223.085,1.4529,1.15924,1.30851,0.51256,0.74194,0.55892,0.37282,0.91933,233.951,1.00781,0.00117163,0.00117163,0.00117163
21,234.519,1.44098,1.12272,1.29166,0.40554,0.83628,0.40188,0.26625,0.86439,267.191,1.00959,0.0011675,0.0011675,0.0011675
22,245.283,1.44437,1.10594,1.28312,0.53043,0.77419,0.53051,0.36084,0.82108,243.638,0.96489,0.00116337,0.00116337,0.00116337
