epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1330.98,1.07111,1.73136,1.20993,0.71422,0.39627,0.40826,0.28805,1.07967,1.64592,1.15614,0.0007294,0.0007294,0.0007294
43,1358.33,1.07225,1.64291,1.17822,0.43144,0.41403,0.42151,0.27263,1.24468,1.6967,1.22054,0.0007228,0.0007228,0.0007228
44,1385.52,1.03862,1.62471,1.16785,0.4389,0.42962,0.39603,0.29527,1.07721,1.65563,1.15646,0.0007162,0.0007162,0.0007162
45,1412.71,1.0548,1.66279,1.1779,0.36125,0.4101,0.40595,0.30553,1.00584,1.64515,1.13731,0.0007096,0.0007096,0.0007096
46,1440.41,1.05413,1.62384,1.17487,0.75171,0.40834,0.41364,0.30393,1.07605,1.69235,1.15407,0.000703,0.000703,0.000703
47,1468.04,1.03531,1.59854,1.16238,0.45219,0.39937,0.41189,0.29412,1.09874,1.64573,1.16383,0.0006964,0.0006964,0.0006964
48,1495.9,1.03064,1.60115,1.16243,0.62857,0.37148,0.40329,0.31385,0.97272,1.59862,1.1162,0.0006898,0.0006898,0.0006898
49,1523.45,1.04361,1.62812,1.15762,0.45613,0.38296,0.39967,0.2789,1.15479,1.67661,1.18039,0.0006832,0.0006832,0.0006832
50,1551.24,1.0332,1.58862,1.16255,0.46158,0.41137,0.39508,0.28947,1.07265,1.63583,1.14616,0.0006766,0.0006766,0.0006766
51,1578.4,0.99345,1.56724,1.14228,0.36325,0.39275,0.36486,0.26959,1.04199,1.65933,1.13506,0.00067,0.00067,0.00067
52,1606.9,1.0086,1.536,1.14373,0.364,0.48007,0.42362,0.30457,1.08886,1.62757,1.15178,0.0006634,0.0006634,0.0006634
53,1634.66,1.02261,1.56317,1.15872,0.36831,0.39462,0.32912,0.24171,1.02609,1.86241,1.15463,0.0006568,0.0006568,0.0006568
54,1662.79,1.00836,1.5435,1.15196,0.32712,0.46032,0.41214,0.30715,1.01581,1.63243,1.13881,0.0006502,0.0006502,0.0006502
55,1702.89,1.00564,1.51283,1.13633,0.33205,0.47863,0.4244,0.31631,1.08678,1.64508,1.15756,0.0006436,0.0006436,0.0006436
56,1764.29,0.99833,1.52975,1.15182,0.45625,0.3345,0.35539,0.26866,0.97726,1.58735,1.12475,0.000637,0.000637,0.000637
57,1791.93,0.98644,1.48453,1.13781,0.48776,0.36696,0.38726,0.28546,1.09769,1.65987,1.16849,0.0006304,0.0006304,0.0006304
58,1819.48,0.97828,1.54457,1.1562,0.34863,0.40081,0.41147,0.30388,1.0356,1.60707,1.14072,0.0006238,0.0006238,0.0006238
59,1846.86,0.98626,1.50707,1.14059,0.37081,0.57457,0.45187,0.34113,1.03852,1.57574,1.14437,0.0006172,0.0006172,0.0006172
60,1875.39,1.0065,1.49945,1.15741,0.46913,0.35358,0.42676,0.32719,0.99203,1.66001,1.12453,0.0006106,0.0006106,0.0006106
61,1904.72,0.98823,1.46295,1.13851,0.41774,0.5716,0.46789,0.33173,1.09999,1.63409,1.17024,0.000604,0.000604,0.000604
62,1932.52,0.9828,1.45239,1.12825,0.49839,0.43407,0.45603,0.33301,0.97281,1.56292,1.13042,0.0005974,0.0005974,0.0005974
63,1960.1,0.97061,1.46764,1.13486,0.55605,0.39844,0.41549,0.31335,1.01467,1.62991,1.12773,0.0005908,0.0005908,0.0005908
64,1988.1,0.96132,1.43402,1.12744,0.38513,0.52168,0.43593,0.3236,1.01165,1.62235,1.14165,0.0005842,0.0005842,0.0005842
65,2015.49,0.9584,1.4577,1.12471,0.43862,0.41568,0.36965,0.2701,1.02582,1.62481,1.13649,0.0005776,0.0005776,0.0005776
66,2043.51,0.95245,1.4476,1.12926,0.48234,0.48084,0.49321,0.38613,0.98765,1.57129,1.13264,0.000571,0.000571,0.000571
67,2071.23,0.97539,1.46938,1.13786,0.84364,0.36177,0.46974,0.3614,0.98294,1.55265,1.13213,0.0005644,0.0005644,0.0005644
68,2099.02,0.96989,1.40241,1.12689,0.51254,0.4107,0.43607,0.3281,1.05363,1.60337,1.1529,0.0005578,0.0005578,0.0005578
69,2126.74,0.9606,1.40413,1.12614,0.40468,0.39621,0.45033,0.34804,1.0153,1.64671,1.14066,0.0005512,0.0005512,0.0005512
70,2154.44,0.95594,1.39951,1.12311,0.36176,0.44385,0.43797,0.33893,1.01883,1.58138,1.13444,0.0005446,0.0005446,0.0005446
71,2182.06,0.94241,1.34027,1.10355,0.52338,0.44981,0.44166,0.34861,1.00286,1.62229,1.12798,0.000538,0.000538,0.000538
72,2209.65,0.96552,1.40336,1.11942,0.31106,0.44511,0.36989,0.27244,1.03097,1.62904,1.14501,0.0005314,0.0005314,0.0005314
73,2237.24,0.93431,1.33586,1.10593,0.51513,0.50045,0.48024,0.37151,1.00967,1.6211,1.12669,0.0005248,0.0005248,0.0005248
74,2265.3,0.93454,1.33536,1.11115,0.43154,0.41507,0.44598,0.33876,1.01121,1.61238,1.13218,0.0005182,0.0005182,0.0005182
75,2292.73,0.94006,1.36699,1.11801,0.33067,0.45199,0.40827,0.30318,1.00635,1.59764,1.1394,0.0005116,0.0005116,0.0005116
76,2320.54,0.93029,1.33308,1.10088,0.48701,0.42526,0.42847,0.33207,0.99655,1.64032,1.14019,0.000505,0.000505,0.000505
77,2348.43,0.91651,1.28216,1.09205,0.36682,0.438,0.45348,0.35081,1.00549,1.59412,1.14406,0.0004984,0.0004984,0.0004984
78,2375.86,0.90852,1.30135,1.09785,0.35547,0.58947,0.40433,0.31281,1.01136,1.59247,1.14877,0.0004918,0.0004918,0.0004918
79,2403.48,0.91809,1.31037,1.10208,0.39938,0.45568,0.43893,0.34392,0.96794,1.69394,1.12334,0.0004852,0.0004852,0.0004852
80,2431.3,0.90868,1.30286,1.10297,0.78712,0.36287,0.42444,0.30756,1.05978,1.67446,1.16231,0.0004786,0.0004786,0.0004786
81,2458.96,0.90716,1.27993,1.08899,0.46076,0.47702,0.4525,0.34233,1.05834,1.64937,1.15504,0.000472,0.000472,0.000472
